No. ,Kode ,Nama Saham ,"Rasio Free
Float",Saat Ini ,"Hasil Evaluasi
(15,00% Cap) ",Keterangan
1,ADRO ,Adaro Energy Indonesia Tbk. ,"43,71% ",13.981.063.990 ,13.981.063.990 ,Tetap
2,ANTM ,Aneka Tambang Tbk. ,"34,83% ",8.369.915.354 ,8.369.915.354 ,Tetap
3,BRIS ,Bank Syariah Indonesia Tbk. ,"7,04% ",2.846.182.914 ,2.866.541.876 ,Berubah
4,BRPT ,Barito Pacific Tbk. ,"27,94% ",26.192.972.721 ,26.192.972.721 ,Tetap
5,CPIN ,Charoen Pokphand Indonesia Tbk ,"40,12% ",6.578.877.600 ,6.578.877.600 ,Tetap
6,EMTK ,Elang Mahkota Teknologi Tbk. ,"25,20% ",14.924.614.836 ,15.432.921.374 ,Berubah
7,ERAA ,Erajaya Swasembada Tbk. ,"44,87% ",7.140.815.000 ,7.156.765.000 ,Berubah
8,EXCL ,XL Axiata Tbk. ,"38,11% ",4.087.173.557 ,4.087.173.557 ,Tetap
9,HRUM ,Harum Energy Tbk. ,"18,60% ",- ,2.514.366.600 ,Baru
10,ICBP ,Indofood CBP Sukses Makmur Tbk. ,"20,00% ",2.332.381.600 ,2.332.381.600 ,Tetap
11,INCO ,Vale Indonesia Tbk. ,"20,29% ",2.015.089.492 ,2.016.083.126 ,Berubah
12,INDF ,Indofood Sukses Makmur Tbk. ,"49,57% ",4.352.457.416 ,4.352.457.416 ,Tetap
13,INKP ,Indah Kiat Pulp & Paper Tbk. ,"34,21% ",1.871.076.166 ,1.871.623.264 ,Berubah
14,INTP ,Indocement Tunggal Prakarsa Tbk. ,"38,09% ",1.658.394.880 ,1.402.181.154 ,Berubah
15,ITMG ,Indo Tambangraya Megah Tbk. ,"34,74% ",359.090.165 ,392.535.945 ,Berubah
16,JPFA ,Japfa Comfeed Indonesia Tbk. ,"42,65% ",5.047.117.967 ,5.001.384.323 ,Berubah
17,KLBF ,Kalbe Farma Tbk. ,"41,96% ",19.935.989.433 ,19.668.801.237 ,Berubah
18,MDKA ,Merdeka Copper Gold Tbk. ,"47,68% ",- ,11.496.053.648 ,Baru
19,MIKA ,Mitra Keluarga Karyasehat Tbk. ,"35,73% ",5.214.163.917 ,5.090.220.676 ,Berubah
20,MNCN ,Media Nusantara Citra Tbk. ,"54,63% ",8.221.699.026 ,8.221.699.026 ,Tetap
21,PGAS ,Perusahaan Gas Negara Tbk. ,"43,04% ",10.433.545.128 ,10.433.545.128 ,Tetap
22,PTBA ,Bukit Asam Tbk. ,"33,43% ",3.851.356.387 ,3.851.356.387 ,Tetap
23,SCMA ,Surya Citra Media Tbk. ,"24,32% ",- ,17.989.642.504 ,Baru
24,SMGR ,Semen Indonesia (Persero) Tbk. ,"48,97% ",2.904.665.344 ,2.904.665.344 ,Tetap
25,TINS ,Timah Tbk. ,"34,96% ",2.603.734.608 ,2.603.734.608 ,Tetap
26,TLKM ,Telkom Indonesia (Persero) Tbk. ,"47,85% ",19.536.687.566 ,23.957.053.318 ,Berubah
27,TPIA ,Chandra Asri Petrochemical Tbk. ,"14,90% ",3.222.555.055 ,3.222.555.055 ,Tetap
28,UNTR ,United Tractors Tbk. ,"40,43% ",1.508.093.635 ,1.508.093.635 ,Tetap
29,UNVR ,Unilever Indonesia Tbk. ,"14,44% ",5.508.860.000 ,5.508.860.000 ,Tetap
30,WIKA ,Wijaya Karya (Persero) Tbk. ,"34,92% ",3.132.307.019 ,3.132.307.019 ,Tetap
